Sex,Fam.ID,Rep.ID,Lifespan,Status,Gen,,
Female,8,A,43,1,Inb.1,,
Female,8,B,35,1,Inb.1,,
Female,9,A,43,1,Inb.1,,
Female,9,B,27,1,Inb.1,,
Female,10,A,23,1,Inb.1,,
Female,10,B,7,1,Inb.1,,
Female,11,A,39,1,Inb.1,,
Female,11,B,39,1,Inb.1,,
Female,12,A,51,1,Inb.1,,
Female,12,B,35,1,Inb.1,,
Female,13,A,5,1,Inb.1,,
Female,13,B,43,1,Inb.1,,
Female,14,A,47,1,Inb.1,,
Female,14,B,35,1,Inb.1,,
Female,15,A,31,1,Inb.1,,
Female,15,B,39,1,Inb.1,,
Female,16,A,15,1,Inb.1,,
Female,16,B,15,1,Inb.1,,
Female,17,A,27,1,Inb.1,,
Female,17,B,31,1,Inb.1,,
Female,18,A,47,1,Inb.1,,
Female,18,B,63,1,Inb.1,,
Female,19,A,27,1,Inb.1,,
Female,19,B,23,1,Inb.1,,
Female,20,A,31,1,Inb.1,,
Female,20,B,56,1,Inb.1,,
Female,21,A,39,1,Inb.1,,
Female,21,B,31,1,Inb.1,,
Female,22,A,39,1,Inb.1,,
Female,22,B,47,1,Inb.1,,
Female,23,A,27,1,Inb.1,,
Female,23,B,43,1,Inb.1,,
Female,24,A,35,1,Inb.1,,
Female,24,B,31,1,Inb.1,,
Female,25,A,47,1,Inb.1,,
Female,25,B,51,1,Inb.1,,
Female,26,A,35,1,Inb.1,,
Female,26,B,35,1,Inb.1,,
Female,27,A,35,1,Inb.1,,
Female,27,B,39,1,Inb.1,,
Female,28,A,27,1,Inb.1,,
Female,28,B,31,1,Inb.1,,
Female,29,A,63,1,Inb.1,,
Female,29,B,11,1,Inb.1,,
Female,30,A,23,1,Inb.1,,
Female,30,B,27,1,Inb.1,,
Female,31,A,35,1,Inb.1,,
Female,31,B,39,1,Inb.1,,
Female,32,A,15,1,Inb.1,,
Female,32,B,31,1,Inb.1,,
Female,33,A,39,1,Inb.1,,
Female,33,B,43,1,Inb.1,,
Female,34,A,35,1,Inb.1,,
Female,34,B,47,1,Inb.1,,
Female,35,A,7,1,Inb.1,,
Female,35,B,39,1,Inb.1,,
Female,36,A,19,1,Inb.1,,
Female,36,B,27,1,Inb.1,,
Female,37,A,23,1,Inb.1,,
Female,37,B,47,1,Inb.1,,
Female,38,A,35,1,Inb.1,,
Female,38,B,31,1,Inb.1,,
Female,39,A,31,1,Inb.1,,
Female,39,B,39,1,Inb.1,,
Female,40,A,31,1,Inb.1,,
Female,40,B,47,1,Inb.1,,
Female,41,A,47,1,Inb.1,,
Female,41,B,55,1,Inb.1,,
Female,42,A,31,1,Inb.1,,
Female,42,B,39,1,Inb.1,,
Female,43,A,47,1,Inb.1,,
Female,43,B,79,1,Inb.1,,
Female,44,A,39,1,Inb.1,,
Female,44,B,55,1,Inb.1,,
