Sex,Family,ID,Elytra_mm,Elytra
Female,14,Inb.6,2.51,2510
Female,16,Inb.6,2.49,2490
Female,17,Inb.6,2.29,2290
Female,18,Inb.6,2.59,2590
Female,19,Inb.6,2.49,2490
Female,20,Inb.6,2.7,2700
Female,21,Inb.6,2.48,2480
Female,22,Inb.6,2.35,2350
Female,23,Inb.6,2.48,2480
Female,24,Inb.6,2.42,2420
Female,27,Inb.6,2.62,2620
Female,31,Inb.6,2.65,2650
Female,32,Inb.6,2.63,2630
Female,33,Inb.6,2.7,2700
Female,34,Inb.6,2.32,2320
Female,35,Inb.6,2.41,2410
Female,38,Inb.6,2.44,2440
Female,39,Inb.6,2.42,2420
Female,40,Inb.6,2.56,2560
Female,42,Inb.6,2.54,2540
Female,43,Inb.6,2.47,2470
Female,44,Inb.6,2.49,2490
Female,45,Inb.6,2.37,2370
